Image,Predicted Label
6943_x_125_y_6222_z_125_side_2024_03_22_23_04_10_white.jpg,Bad
6943_x_1089_y_9237_z_125_side_2024_03_22_20_38_35_white.jpg,Bad
6943_x_2053_y_6222_z_125_side_2024_03_22_23_10_11_white.jpg,Bad
6943_x_1089_y_14666_z_125_side_2024_03_22_23_25_16_white.jpg,Bad
6943_x_125_y_14666_z_125_side_2024_03_22_23_22_34_white.jpg,Good
6943_x_2053_y_9237_z_125_side_2024_03_22_20_41_20_white.jpg,Bad
6943_x_1089_y_6222_z_125_side_2024_03_22_23_07_15_white.jpg,Bad
6943_x_2053_y_14968_z_125_side_2024_03_22_23_19_00_white.jpg,Good
6943_x_1089_y_14968_z_125_side_2024_03_22_23_16_05_white.jpg,Good
6943_x_125_y_9237_z_125_side_2024_03_22_20_35_38_white.jpg,Bad
