side_image,top_image
6935_x_1089_y_12974_z_125_side_2024_01_01_04_02_47_white.jpg,6935_x_1089_y_12974_z_125_top_2024_01_01_04_02_38_white.jpg
6935_x_125_y_12974_z_125_side_2024_01_01_04_02_13_white.jpg,6935_x_125_y_12974_z_125_top_2024_01_01_04_02_01_white.jpg
6935_x_2053_y_12974_z_125_side_2024_01_01_04_03_21_white.jpg,6935_x_2053_y_12974_z_125_top_2024_01_01_04_03_11_white.jpg
6935_x_125_y_13427_z_125_side_2024_01_01_04_04_34_white.jpg,6935_x_125_y_13427_z_125_top_2024_01_01_04_04_24_white.jpg
6935_x_1089_y_13427_z_125_side_2024_01_01_04_05_11_white.jpg,6935_x_1089_y_13427_z_125_top_2024_01_01_04_04_58_white.jpg
6935_x_2053_y_13427_z_125_side_2024_01_01_04_05_44_white.jpg,6935_x_2053_y_13427_z_125_top_2024_01_01_04_05_34_white.jpg
6935_x_125_y_13125_z_125_side_2024_01_01_04_06_59_white.jpg,6935_x_125_y_13125_z_125_top_2024_01_01_04_06_47_white.jpg
6935_x_1089_y_13125_z_125_side_2024_01_01_04_07_23_white.jpg,6935_x_1089_y_13125_z_125_top_2024_01_01_04_07_13_white.jpg
6935_x_2053_y_13125_z_125_side_2024_01_01_04_07_56_white.jpg,6935_x_2053_y_13125_z_125_top_2024_01_01_04_07_46_white.jpg
6935_x_125_y_12824_z_125_side_2024_01_01_04_09_09_white.jpg,6935_x_125_y_12824_z_125_top_2024_01_01_04_08_59_white.jpg
6935_x_1089_y_12824_z_125_side_2024_01_01_04_09_42_white.jpg,6935_x_1089_y_12824_z_125_top_2024_01_01_04_09_32_white.jpg
6935_x_2053_y_12824_z_125_side_2024_01_01_04_10_15_white.jpg,6935_x_2053_y_12824_z_125_top_2024_01_01_04_10_05_white.jpg
6935_x_125_y_10562_z_125_side_2024_01_01_04_11_35_white.jpg,6935_x_125_y_10562_z_125_top_2024_01_01_04_11_25_white.jpg
6935_x_1089_y_10562_z_125_side_2024_01_01_04_12_08_white.jpg,6935_x_1089_y_10562_z_125_top_2024_01_01_04_11_58_white.jpg
6935_x_2053_y_10562_z_125_side_2024_01_01_04_12_41_white.jpg,6935_x_2053_y_10562_z_125_top_2024_01_01_04_12_32_white.jpg
6935_x_125_y_10411_z_125_side_2024_01_01_04_13_52_white.jpg,6935_x_125_y_10411_z_125_top_2024_01_01_04_13_42_white.jpg
6935_x_1089_y_10411_z_125_side_2024_01_01_04_14_26_white.jpg,6935_x_1089_y_10411_z_125_top_2024_01_01_04_14_16_white.jpg
6935_x_2053_y_10411_z_125_side_2024_01_01_04_14_59_white.jpg,6935_x_2053_y_10411_z_125_top_2024_01_01_04_14_50_white.jpg
6935_x_125_y_10260_z_125_side_2024_01_01_04_16_10_white.jpg,6935_x_125_y_10260_z_125_top_2024_01_01_04_16_00_white.jpg
6935_x_1089_y_10260_z_125_side_2024_01_01_04_16_43_white.jpg,6935_x_1089_y_10260_z_125_top_2024_01_01_04_16_33_white.jpg
6935_x_2053_y_10260_z_125_side_2024_01_01_04_17_16_white.jpg,6935_x_2053_y_10260_z_125_top_2024_01_01_04_17_06_white.jpg
6935_x_125_y_9958_z_125_side_2024_01_01_04_18_27_white.jpg,6935_x_125_y_9958_z_125_top_2024_01_01_04_18_17_white.jpg
