Image,Predicted Label
6943_x_375_y_9841_z_125_top_2024_06_13_01_07_29_white.jpg,1
6943_x_1061_y_14515_z_125_top_2024_05_22_01_07_46_white.jpg,0
6943_x_1089_y_10595_z_125_top_2024_04_26_23_06_03_white.jpg,0
6943_x_375_y_7126_z_125_top_2024_05_08_01_54_29_white.jpg,0
6943_x_32_y_14365_z_125_top_2024_05_02_00_51_55_white.jpg,1
6943_x_125_y_14214_z_125_top_2024_04_22_23_59_45_white.jpg,1
6943_x_725_y_10896_z_125_top_2024_05_01_23_07_17_white.jpg,1
6943_x_1404_y_7126_z_125_top_2024_05_08_02_00_12_white.jpg,1
6943_x_375_y_14214_z_125_top_2024_05_20_01_33_45_white.jpg,0
6943_x_2090_y_9539_z_125_top_2024_06_04_01_53_59_white.jpg,1
6943_x_378_y_11047_z_125_top_2024_05_02_02_17_17_white.jpg,1
6943_x_1747_y_9841_z_125_top_2024_06_05_01_44_50_white.jpg,0
6943_x_125_y_14214_z_125_top_2024_04_27_00_03_51_white.jpg,0
6943_x_1747_y_9388_z_125_top_2024_06_04_02_12_08_white.jpg,1
6943_x_1061_y_14214_z_125_top_2024_05_23_01_29_48_white.jpg,1
6943_x_718_y_9991_z_125_top_2024_06_09_01_11_36_white.jpg,1
6943_x_375_y_10595_z_125_top_2024_05_04_01_45_49_white.jpg,0
6943_x_2300_y_11047_z_125_top_2024_05_06_01_02_40_white.jpg,1
6943_x_718_y_14365_z_125_top_2024_05_20_23_43_59_white.jpg,1
6943_x_1089_y_13611_z_125_top_2024_03_31_23_05_01_white.jpg,0
6943_x_2053_y_8936_z_125_top_2024_03_23_00_48_02_white.jpg,1
6943_x_32_y_9841_z_125_top_2024_06_09_01_27_57_white.jpg,0
6943_x_378_y_10745_z_125_top_2024_05_02_02_38_08_white.jpg,1
6943_x_718_y_13460_z_125_top_2024_06_12_00_10_46_white.jpg,1
6943_x_378_y_7126_z_125_top_2024_05_02_04_35_04_white.jpg,1
6943_x_1089_y_14666_z_125_top_2024_04_22_23_46_09_white.jpg,1
6943_x_2090_y_9841_z_125_top_2024_06_07_01_20_50_white.jpg,0
6943_x_125_y_6372_z_125_top_2024_03_23_01_20_33_white.jpg,1
6943_x_1404_y_14515_z_125_top_2024_05_25_00_49_27_white.jpg,1
6943_x_2090_y_14968_z_125_top_2024_05_02_23_49_57_white.jpg,0
6943_x_1061_y_15420_z_125_top_2024_05_25_23_12_07_white.jpg,0
6943_x_1747_y_9841_z_125_top_2024_06_10_23_12_42_white.jpg,1
6943_x_125_y_14666_z_125_top_2024_04_25_23_36_09_white.jpg,0
6943_x_1089_y_14365_z_125_top_2024_04_26_23_58_11_white.jpg,0
6943_x_1766_y_11047_z_125_top_2024_05_02_02_24_32_white.jpg,0
6943_x_2090_y_13460_z_125_top_2024_06_05_00_25_52_white.jpg,0
6943_x_718_y_7126_z_125_top_2024_05_10_00_44_05_white.jpg,1
6943_x_1404_y_14515_z_125_top_2024_05_27_00_51_20_white.jpg,1
6943_x_125_y_14214_z_125_top_2024_04_28_00_06_23_white.jpg,0
6943_x_1061_y_13611_z_125_top_2024_06_08_23_52_23_white.jpg,0
6943_x_32_y_9388_z_125_top_2024_06_08_02_07_35_white.jpg,1
6943_x_2300_y_14214_z_125_top_2024_05_25_01_34_01_white.jpg,0
6943_x_2090_y_13460_z_125_top_2024_06_06_00_19_00_white.jpg,0
6943_x_1404_y_9991_z_125_top_2024_06_12_01_14_10_white.jpg,0
6943_x_1747_y_13761_z_125_top_2024_06_05_23_36_23_white.jpg,0
6943_x_1747_y_9388_z_125_top_2024_06_11_02_17_23_white.jpg,1
6943_x_1061_y_6372_z_125_top_2024_05_03_03_55_46_white.jpg,1
6943_x_1747_y_11349_z_125_top_2024_05_07_00_48_28_white.jpg,1
6943_x_2090_y_14063_z_125_top_2024_05_23_01_58_18_white.jpg,0
6943_x_375_y_9841_z_125_top_2024_06_04_01_24_46_white.jpg,1
6943_x_1747_y_6372_z_125_top_2024_05_04_04_46_32_white.jpg,0
6943_x_375_y_10896_z_125_top_2024_05_04_01_05_16_white.jpg,1
6943_x_718_y_6674_z_125_top_2024_05_04_03_57_35_white.jpg,0
6943_x_32_y_14515_z_125_top_2024_05_18_23_03_54_white.jpg,1
6943_x_125_y_8333_z_125_top_2024_04_23_00_23_50_white.jpg,0
6943_x_2090_y_13611_z_125_top_2024_06_08_23_58_06_white.jpg,1
6943_x_718_y_11349_z_125_top_2024_05_03_00_26_21_white.jpg,0
6943_x_1747_y_14365_z_125_top_2024_05_27_23_15_25_white.jpg,0
6943_x_375_y_7126_z_125_top_2024_05_05_02_27_21_white.jpg,1
6943_x_1061_y_6825_z_125_top_2024_05_03_03_17_55_white.jpg,1
6943_x_1061_y_13158_z_125_top_2024_06_13_00_30_54_white.jpg,0
6943_x_1747_y_14365_z_125_top_2024_05_24_01_11_37_white.jpg,1
6943_x_1404_y_14063_z_125_top_2024_05_27_01_51_13_white.jpg,1
6943_x_1404_y_11047_z_125_top_2024_05_04_00_47_53_white.jpg,0
6943_x_718_y_13460_z_125_top_2024_06_08_00_10_22_white.jpg,0
6943_x_1747_y_14515_z_125_top_2024_05_23_00_51_33_white.jpg,0
6943_x_1089_y_15119_z_125_top_2024_04_22_23_30_23_white.jpg,1
6943_x_718_y_14063_z_125_top_2024_05_23_01_50_03_white.jpg,0
6943_x_2090_y_9388_z_125_top_2024_06_11_02_19_00_white.jpg,0
6943_x_375_y_13460_z_125_top_2024_06_04_00_04_47_white.jpg,1
6943_x_1404_y_6523_z_125_top_2024_05_08_03_07_10_white.jpg,0
6943_x_2090_y_14365_z_125_top_2024_05_24_01_13_07_white.jpg,0
6943_x_2300_y_9388_z_125_top_2024_06_13_02_18_54_white.jpg,0
6943_x_1747_y_11047_z_125_top_2024_05_06_00_59_08_white.jpg,1
6943_x_2090_y_9539_z_125_top_2024_06_12_02_18_06_white.jpg,1
6943_x_32_y_13309_z_125_top_2024_06_13_00_06_09_white.jpg,1
6943_x_32_y_14063_z_125_top_2024_05_23_01_45_58_white.jpg,1
6943_x_32_y_15420_z_125_top_2024_05_22_23_23_28_white.jpg,0
6943_x_718_y_14214_z_125_top_2024_05_27_01_27_30_white.jpg,0
6943_x_2053_y_14968_z_125_top_2024_04_28_23_09_09_white.jpg,0
6943_x_2300_y_14063_z_125_top_2024_05_27_01_56_33_white.jpg,1
6943_x_2090_y_14365_z_125_top_2024_05_20_01_23_01_white.jpg,1
6943_x_1061_y_13460_z_125_top_2024_06_08_00_12_08_white.jpg,0
6943_x_718_y_15269_z_125_top_2024_05_26_23_47_38_white.jpg,1
6943_x_2090_y_13761_z_125_top_2024_06_05_23_38_02_white.jpg,0
6943_x_375_y_13761_z_125_top_2024_06_10_23_25_29_white.jpg,1
6943_x_2090_y_14365_z_125_top_2024_05_19_01_16_16_white.jpg,1
6943_x_1089_y_12404_z_125_top_2024_03_22_23_44_50_white.jpg,1
6943_x_32_y_13460_z_125_top_2024_06_09_00_07_38_white.jpg,1
6943_x_1404_y_14365_z_125_top_2024_05_19_01_12_49_white.jpg,1
6943_x_1747_y_13460_z_125_top_2024_06_04_00_11_59_white.jpg,1
6943_x_2053_y_14515_z_125_top_2024_04_29_23_41_25_white.jpg,1
6943_x_32_y_14063_z_125_top_2024_05_27_01_43_48_white.jpg,0
6943_x_718_y_11198_z_125_top_2024_05_04_00_24_53_white.jpg,1
6943_x_32_y_15269_z_125_top_2024_05_18_23_44_19_white.jpg,1
6943_x_2300_y_14365_z_125_top_2024_05_27_01_16_39_white.jpg,1
6943_x_718_y_9991_z_125_top_2024_06_13_00_49_10_white.jpg,0
6943_x_1404_y_13309_z_125_top_2024_06_12_00_34_17_white.jpg,1
6943_x_1061_y_13158_z_125_top_2024_06_10_00_40_37_white.jpg,0
6943_x_32_y_6674_z_125_top_2024_05_03_03_34_42_white.jpg,1
6943_x_2113_y_10745_z_125_top_2024_05_01_03_04_53_white.jpg,1
6943_x_2300_y_15119_z_125_top_2024_05_01_23_36_49_white.jpg,1
6943_x_2090_y_9539_z_125_top_2024_06_06_02_01_30_white.jpg,0
6943_x_1061_y_14515_z_125_top_2024_05_18_23_09_06_white.jpg,1
6943_x_1747_y_14365_z_125_top_2024_05_19_01_14_34_white.jpg,1
6943_x_32_y_9690_z_125_top_2024_06_05_23_03_21_white.jpg,0
6943_x_1404_y_9539_z_125_top_2024_06_12_02_14_40_white.jpg,1
6943_x_375_y_9841_z_125_top_2024_06_09_01_29_55_white.jpg,1
6943_x_1072_y_11349_z_125_top_2024_05_01_01_34_24_white.jpg,0
6943_x_1089_y_13611_z_125_top_2024_04_02_23_19_29_white.jpg,0
6943_x_2300_y_13761_z_125_top_2024_06_05_23_40_17_white.jpg,0
6943_x_125_y_14214_z_125_top_2024_04_29_23_52_26_white.jpg,1
6943_x_375_y_14365_z_125_top_2024_05_24_01_04_07_white.jpg,0
6943_x_2090_y_14214_z_125_top_2024_05_20_01_42_39_white.jpg,0
6943_x_378_y_10595_z_125_top_2024_05_02_03_01_57_white.jpg,1
6943_x_2300_y_9841_z_125_top_2024_06_06_01_42_50_white.jpg,0
6943_x_1404_y_15269_z_125_top_2024_05_21_23_50_26_white.jpg,1
6943_x_718_y_9539_z_125_top_2024_06_11_01_50_45_white.jpg,1
6943_x_1747_y_9991_z_125_top_2024_06_10_01_07_09_white.jpg,0
6943_x_2090_y_13158_z_125_top_2024_06_10_00_46_33_white.jpg,0
6943_x_125_y_7729_z_125_top_2024_04_24_00_55_54_white.jpg,1
6943_x_1061_y_6372_z_125_top_2024_05_06_04_44_19_white.jpg,0
6943_x_1061_y_10896_z_125_top_2024_05_06_01_15_21_white.jpg,1
6943_x_1747_y_14214_z_125_top_2024_05_19_01_34_40_white.jpg,1
6943_x_378_y_15119_z_125_top_2024_04_30_23_25_23_white.jpg,1
6943_x_1404_y_6523_z_125_top_2024_05_08_03_07_15_white.jpg,1
6943_x_1404_y_13460_z_125_top_2024_06_12_23_53_19_white.jpg,1
